timestamp_utc,intersection_id,intersection_name,lat,lon,approach,lane_count,vehicle_count_15min,avg_speed_kmh,queue_length_m,signal_phase_sec_green,signal_phase_sec_red,is_rush_hour,weather,notes
2026-09-13T00:00:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,N,2,42,27,15,24,68,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,E,1,38,32,10,29,61,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,S,2,27,35,1,30,62,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,W,1,37,36,4,25,64,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,N,2,38,35,15,29,63,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,E,1,41,34,16,30,62,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,S,2,36,30,8,30,61,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,W,1,43,34,9,24,66,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,N,2,39,28,21,23,72,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,E,1,34,33,4,25,63,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,S,2,34,34,6,23,65,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,W,1,45,29,18,22,64,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-W,Expo district west approach,48.1741,11.5478,N,2,39,37,19,26,65,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-W,Expo district west approach,48.1741,11.5478,E,1,39,27,6,29,64,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-W,Expo district west approach,48.1741,11.5478,S,2,37,33,22,25,67,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-EXPO-W,Expo district west approach,48.1741,11.5478,W,1,45,36,19,22,65,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-01,Inner ring connector A,48.1765,11.5489,N,2,39,35,19,26,66,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-01,Inner ring connector A,48.1765,11.5489,E,1,28,28,2,29,56,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-01,Inner ring connector A,48.1765,11.5489,S,2,34,27,3,26,60,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-01,Inner ring connector A,48.1765,11.5489,W,1,29,31,5,26,65,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-02,Inner ring connector B,48.1719,11.5531,N,2,28,29,0,25,68,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-02,Inner ring connector B,48.1719,11.5531,E,1,34,35,13,26,64,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-02,Inner ring connector B,48.1719,11.5531,S,2,31,37,9,25,65,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:00:00Z,INT-RING-02,Inner ring connector B,48.1719,11.5531,W,1,39,27,5,29,60,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,N,2,27,28,2,22,73,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,E,1,28,27,4,23,63,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,S,2,27,29,0,26,62,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-N,Expo district north approach,48.1752,11.5510,W,1,35,32,12,23,65,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,N,2,34,27,2,28,64,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,E,1,43,37,11,30,65,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,S,2,41,37,22,26,69,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-S,Expo district south approach,48.1728,11.5504,W,1,34,28,18,25,67,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,N,2,32,27,3,29,66,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,E,1,42,36,17,26,67,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,S,2,29,37,0,26,68,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
2026-09-13T00:15:00Z,INT-EXPO-E,Expo district east approach,48.1740,11.5542,W,1,40,37,19,27,63,0,light_rain,synthetic anonymized counts for Adaptive Traffic Flow challenge — not live city infrastructure
