timestamp,device_id,location,traffic_count,avg_speed,status
2026-01-01 08:00,TS_001,Zone_A,5,32,OK
2026-01-01 08:00,TS_002,Zone_B,5,29,OK
2026-01-01 08:00,TS_003,Zone_C,4,29,OK
2026-01-01 08:00,TS_004,Zone_D,9,32,OK
2026-01-01 08:01,TS_001,Zone_A,9,31,OK
2026-01-01 08:01,TS_002,Zone_B,7,31,OK
2026-01-01 08:01,TS_003,Zone_C,2,33,OK
2026-01-01 08:01,TS_004,Zone_D,8,32,OK
2026-01-01 08:02,TS_001,Zone_A,3,23,OK
2026-01-01 08:02,TS_002,Zone_B,5,28,OK
2026-01-01 08:02,TS_003,Zone_C,8,30,OK
2026-01-01 08:02,TS_004,Zone_D,8,27,OK
2026-01-01 08:03,TS_001,Zone_A,8,32,OK
2026-01-01 08:03,TS_002,Zone_B,5,37,OK
2026-01-01 08:03,TS_003,Zone_C,9,35,OK
2026-01-01 08:03,TS_004,Zone_D,6,27,OK
2026-01-01 08:04,TS_001,Zone_A,7,30,OK
2026-01-01 08:04,TS_002,Zone_B,9,31,OK
2026-01-01 08:04,TS_003,Zone_C,6,26,OK
2026-01-01 08:04,TS_004,Zone_D,6,35,OK
2026-01-01 08:05,TS_001,Zone_A,6,31,OK
2026-01-01 08:05,TS_002,Zone_B,9,24,OK
2026-01-01 08:05,TS_003,Zone_C,8,35,OK
2026-01-01 08:05,TS_004,Zone_D,3,29,OK
2026-01-01 08:06,TS_001,Zone_A,8,27,OK
2026-01-01 08:06,TS_002,Zone_B,9,30,OK
2026-01-01 08:06,TS_003,Zone_C,5,33,OK
2026-01-01 08:06,TS_004,Zone_D,10,34,OK
2026-01-01 08:07,TS_001,Zone_A,12,31,OK
2026-01-01 08:07,TS_002,Zone_B,9,25,OK
2026-01-01 08:07,TS_003,Zone_C,10,28,OK
2026-01-01 08:07,TS_004,Zone_D,7,25,OK
2026-01-01 08:08,TS_001,Zone_A,7,28,OK
2026-01-01 08:08,TS_002,Zone_B,12,22,OK
